Make_Model,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Acura CL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acura ILX,0,0,0,0,0,0,0,11279,20430,17854,18531,14597,11757,11273,14685,13414,13900
Acura ILX Hybrid,0,0,0,0,0,0,0,972,0,0,0,0,0,0,0,0,0
Acura MDX,57948,54121,58606,45377,31178,47210,43271,50854,53040,65603,58208,55495,54886,51512,52019,47816,60057
Acura NSX,206,58,2,0,0,0,0,0,0,0,0,269,581,170,238,128,124
Acura RDX,0,9164,23356,15845,10153,14975,15196,29520,44750,44865,51026,52361,51295,63580,62876,52785,57013
Acura RL,17572,11501,6262,4517,2043,2037,1096,379,0,0,0,0,0,0,0,0,0
Acura RLX,0,0,0,0,0,0,0,0,0,0,2195,1478,1237,1931,1019,1054,214
Acura RLX/RL,0,0,0,0,0,0,0,0,5053,3413,0,0,0,0,0,0,0
Acura RSX,20809,16996,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acura TL,78218,71348,58545,46766,33620,34049,31237,33572,24318,10616,88,0,0,0,0,0,0
Acura TLX,0,0,0,0,0,0,0,0,0,19127,47080,37156,34846,30468,26548,21785,26100
Acura TSX,34856,38035,33037,31998,28650,32076,0,0,0,0,35,4,0,0,0,0,0
Acura TSX Sedan,0,0,0,0,0,0,27725,24631,15508,5647,0,0,0,0,0,0,0
Acura TSX Sport Wagon,0,0,0,0,0,0,3210,4234,1976,640,0,0,0,0,0,0,0
Acura ZDX,0,0,0,0,79,3259,1564,775,361,78,2,0,0,0,0,0,0
Alfa Romeo 4C,0,0,0,0,0,0,0,0,0,91,659,480,407,238,145,99,78
Alfa Romeo Giulia,0,0,0,0,0,0,0,0,0,0,0,36,8903,11519,8705,8204,7635
Alfa Romeo Stelvio,0,0,0,0,0,0,0,0,0,0,0,0,2721,12043,9444,10282,10539
Audi A3,5389,8040,6353,4759,3874,6558,6561,7205,857,22250,35984,31538,20733,18305,10418,9938,2387
Audi A3 e-tron,0,0,0,0,0,0,0,0,0,0,0,0,2877,0,0,0,0
Audi A4,48922,49862,45411,43343,37070,34672,0,0,0,0,0,0,37674,34311,26435,18342,16263
Audi A4 Allroad,0,0,0,0,0,0,0,3115,5386,4686,2818,2300,0,0,0,0,0
Audi A4 Avant,0,0,0,0,0,0,3505,1252,0,0,0,0,0,0,0,0,0
Audi A4 Sedan,0,0,0,0,0,0,31729,34163,0,0,29013,34687,0,0,0,0,0
Audi A4 Sedan/Avant,0,0,0,0,0,0,0,0,36744,33993,0,0,0,0,0,0,0
Audi A5,0,0,625,6282,9800,16379,15385,17270,18664,16620,12934,8354,21301,25972,23023,18827,17128
Audi A6,20503,16219,12001,11956,6786,8675,11124,18998,22428,23941,22850,18686,16304,10561,17807,10536,9543
Audi A7,0,0,0,0,0,0,6270,8598,8483,8133,7721,6558,4810,3852,4955,2859,3080
Audi A8,5430,5038,3826,2825,1463,1521,5700,6002,6300,5904,4990,4149,3127,1599,2963,2375,2068
Audi eTron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5369,7202,8278
Audi e-Tron GT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1227
Audi e-Tron Sportback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505
Audi Q3,0,0,0,0,0,0,0,0,0,3654,13229,20048,20633,16828,14822,27252,34464
Audi Q4 e-tron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Audi Q4 e-tron Sportback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Audi Q5,0,0,0,0,13790,23518,24908,28671,40355,42420,52006,49550,57640,69978,67516,50435,60299
Audi Q7,0,10003,20695,13209,7299,7976,8998,11008,15978,18517,18995,30563,38346,37417,34649,25372,25363
Audi Q8,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,14256,12072,12539
Audi R8,0,0,240,900,699,799,1145,802,813,735,495,736,772,927,574,583,648
Audi TT,2822,954,4355,4486,1935,1531,2236,2226,2053,1158,1167,3044,2294,1289,1324,832,987
Bentley Bentayga,0,0,0,0,0,0,0,0,0,0,0,884,1152,0,0,0,0
Bentley Continental GT,0,0,0,0,0,0,0,0,0,0,1701,1144,898,0,0,0,0
Bentley Flying Spur,0,0,0,0,0,0,0,0,0,0,791,400,257,0,0,0,0
Bentley Mulsanne,0,0,0,0,0,0,0,0,0,0,194,153,98,0,0,0,0
BMW 1-Series,0,0,0,12018,11182,13132,8832,7689,0,0,0,0,0,0,0,0,0
BMW 1-Series & 2-Series,0,0,0,0,0,0,0,0,7220,7345,0,0,0,0,0,0,0
BMW 2-Series,0,0,0,0,0,0,0,0,0,0,13020,15519,11737,9208,8015,13209,15684
BMW 3-Series,106950,120180,142490,112464,90960,100910,94371,99602,0,0,94540,70458,59449,44578,47827,39290,49458
BMW 3-Series & 4-Series,0,0,0,0,0,0,0,0,119521,142232,0,0,0,0,0,0,0
BMW 4-Series,0,0,0,0,0,0,0,0,0,0,46069,35763,39634,31379,18621,12357,22938
BMW 5-Series,52722,56756,54142,45915,40109,39488,51491,56798,56863,52704,44162,32408,40658,43937,38709,25515,24523
BMW 6-Series,9934,9326,9033,6533,3549,2418,3903,8208,9762,8647,8146,3947,3355,3762,1139,1960,56
BMW 7-Series,18165,17796,14773,12276,9254,12253,11299,11098,10932,9744,9292,12918,9276,8271,8823,5985,7705
BMW 8-Series,0,0,0,0,0,0,0,0,0,0,0,0,0,223,4410,7714,7763
BMW i3,0,0,0,0,0,0,0,0,0,6092,11024,7625,6276,6120,4853,1502,1476
BMW i8,0,0,0,0,0,0,0,0,0,555,2265,1594,488,772,1102,192,21
BMW X1,0,0,0,0,0,0,0,8947,26512,22808,14420,27812,30826,29057,17815,14368,18255
BMW X2,0,0,0,0,0,0,0,0,0,0,0,0,0,16154,11293,7368,6563
BMW X3,30769,31291,28058,17622,6067,6075,27793,35173,30623,33824,31924,44196,40691,61351,70110,59777,75858
BMW X4,0,0,0,0,0,0,0,0,0,2709,6429,4989,5198,4323,8758,7662,10622
BMW X5,37598,26798,35202,31858,27071,35776,40547,44445,39818,47031,54997,47641,50815,45013,54595,50513,60724
BMW X6,0,0,0,4548,4787,6257,6192,6749,5549,3896,7906,7117,6780,6862,4240,7291,9590
BMW X7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21574,23230,23046
BMW Z4,10045,12285,10097,5879,3523,3804,3479,2751,2480,2151,1829,1187,502,4,2941,2364,2412
BMW Z8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buick Cascada,0,0,0,0,0,0,0,0,0,0,0,7153,5595,4628,2535,12,0
Buick Century,6504,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buick Enclave,0,0,29286,44706,43150,55426,58392,56703,60534,62300,62081,52028,48564,49648,51156,38479,42340
Buick Encore,0,0,0,0,0,0,0,0,31956,48892,67549,78565,88035,93071,102401,44353,20438
Buick Encore GX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42240,72401
Buick Envision,0,0,0,0,0,0,0,0,0,0,0,14193,41040,30153,33230,34943,47173
Buick LaCrosse,92669,71072,47747,36873,27818,61178,58474,57076,48798,51468,42035,27582,20161,15527,7241,229,9
Buick LeSabre,75369,2313,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buick Lucerne,8821,96515,82923,54930,31292,26459,20358,971,9,0,0,0,0,0,0,0,0
Buick Park Avenue,2175,51,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buick Rainier,15271,12691,4819,117,4,0,0,0,0,0,0,0,0,0,0,0,0
Buick Regal,602,0,0,0,0,12326,40144,24616,18685,22560,19504,19833,11559,14117,10363,2493,19
Buick Relay,0,0,0,163,12,0,0,0,0,0,0,0,0,0,0,0,0
Buick Rendezvous,60589,45954,15295,27,9,0,0,0,0,0,0,0,0,0,0,0,0
Buick Terraza,20288,11948,5569,544,33,0,0,0,0,0,0,0,0,0,0,0,0
Buick Verano,0,0,0,0,0,0,265,41042,45527,43743,31886,30277,4277,0,0,0,0
Buick Verona,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Cadillac ATS,0,0,0,0,0,0,0,7008,38319,29890,26873,21505,13100,10860,1134,115,0
Cadillac CT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4888,7254
Cadillac CT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,14712,9448
Cadillac CT6,0,0,0,0,0,0,0,0,0,0,0,9169,10542,9669,7952,3117,103
Cadillac CTS,61512,54846,57029,58774,38817,45656,55042,46979,32343,31115,19485,15911,10344,11220,6966,611,68
