id,modelname,makeID
9,Allante',19
24,ATS,19
17,Catera,19
16,Cimarron,19
6,Commercial Series,19
27,CT5,19
26,CT6,19
18,CTS/CTC,19
3,"Deville/Fleetwood,Coupe de Ville, Sedan de Ville, Fleetwood Brougham, Fleetwood 60 Special, d`Elegan",19
22,DTS,19
5,Eldorado,19
25,ELR,19
431,Escalade ESV,19
480,Escalade EXT (from 2002 -2006; for 2007 on see 481),19
481,Escalade EXT (from 2007 on; see 480 for 2002-2006),19
421,Escalade/ESV (from 2004 on; see 431 for 2003 only),19
4,Limousine,19
398,Other (automobile),19
498,Other (light truck),19
14,Seville,19
20,SRX,19
21,STS,19
399,Unknown (automobile),19
499,Unknown (light truck),19
999,Unknown CADILLAC,19
19,XLR,19
422,XT4,19
401,XT5,19
423,XT6,19
23,XTS,19
