id,modelname,makeID
404,Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2
421,Cherokee (thru 1983),2
401,CJ-2/CJ-3/CJ-4,2
402,CJ-5/CJ-6/CJ-7/CJ-8,2
482,Comanche,2
406,Commander,2
1,Compass,2
483,Gladiator,2
422,Grand Cherokee (For 2014 on.  Use model 404 for model years prior to 2013.),2
431,Grand Wagoneer,2
405,Liberty,2
498,Other (light truck),2
407,Patriot,2
481,Pick-up,2
408,Renegade,2
999,Unknown (JEEP),2
499,Unknown (light truck),2
403,YJ series/Wrangler,2
