id,modelname,makeID
17,6000,22
11,Astre,22
401,Aztek,22
2,Bonneville/Catalina/ Parisienne,22
5,Fiero,22
9,Firebird/Trans AM,22
25,G3,22
19,G5,22
22,G6,22
24,G8,22
26,G8-ST,22
18,Grand AM,22
20,Grand Prix (FWD),22
10,Grand Prix (RWD),22
31,Lemans (1988-on),22
1,Lemans/ Tempest (thru 1970),22
398,Other (automobile),22
15,Phoenix,22
23,Solstice,22
16,Sunbird (1985-1994)/J-2000/Sunfire (1995 on),22
12,Sunbird (thru 1980;1985 on see model 016),22
13,T-1000/1000,22
403,Torrent,22
441,Trans Sport/ Montana/SV6,22
399,Unknown (automobile),22
499,Unknown (light truck),22
999,Unknown (PONTIAC),22
8,Ventura/GTO,22
32,Vibe,22
