id,modelname,makeID
8,Acadia (2007-2012 only.  For 2013 on see model 423.),23
423,Acadia (2013 on. For 2007-2012 see model 008.),23
981,Bus**: Conventional (Engine out front),23
481,"C, K, R, V-series pickup/     Sierra",23
7,Caballero,23
472,Canyon,23
421,Fullsize Jimmy/Yukon,23
461,G-series van/Savana,23
401,Jimmy/Typhoon/Envoy,23
881,Medium/Heavy - CBE,23
890,Medium/Heavy – COE entry position unknown,23
883,Medium/Heavy – COE high entry,23
882,Medium/Heavy – COE low entry,23
884,Medium/Heavy – Unknown engine location,23
880,"Medium/Heavy Pickup (pickup-style only - over 10,000 lbs",23
870,Medium/Heavy Van-Based Vehicle,23
850,Motor Home,23
988,Other (bus),23
498,Other (light truck),23
898,Other (medium/heavy truck),23
998,Other (vehicle),23
466,P-series van,23
471,S15/T15/Sonoma,23
441,Safari (Minivan),23
431,Suburban/Yukon XL (2000 on) (1950-2003 only; see 422 for 2004 on),23
422,Suburban/Yukon XL (2004 on; see 431 for 1950- 2003),23
402,Terrain,23
399,Unknown (automobile),23
989,Unknown (bus),23
999,Unknown (GMC),23
499,Unknown (light truck),23
470,Van derivative,23
