id,modelname,makeID
34,411/412,30
53,Arteon,30
403,Atlas,30
32,Beetle 1300/1500,30
52,CC (For 2012 on. See model 046 for 2008-2011.),30
45,Corrado,30
37,Dasher,30
51,Eos,30
442,Eurovan,30
44,Fox,30
42,Golf/Cabriolet/Cabrio/GTI/ GLI,30
40,Jetta/Jetta SportsWagen,30
31,Karmann Ghia,30
47,New Beetle,30
398,Other (automobile),30
498,Other (light truck),30
998,Other (vehicle),30
46,Passat (CC - 2008 thru 2011; see 052 for 2012 on),30
48,Phaeton,30
41,Quantum,30
36,Rabbit,30
43,Rabbit Pickup,30
443,Routan,30
38,Scirocco,30
35,Squareback/Fastback,30
33,Super Beetle,30
401,The Thing (181),30
402,Tiguan,30
421,Touareg/Tourareg 2,30
399,Unknown (automobile),30
499,Unknown (light truck),30
999,Unknown (VOLKSWAGEN),30
441,Vanagon/Camper,30
