id,modelname,makeID
32,100,32
37,200,32
34,4000,32
35,5000,32
36,80/90,32
48,A3,32
43,A4,32
49,A5,32
42,A6,32
51,A7,32
44,A8,32
47,Allroad (2001-05 only.  See 403 for 2013 on),32
403,Allroad (2013 on.  For 2001-2005 see model 047.),32
41,Cabriolet (1994-1998),32
39,Coupe Quattro,32
406,e-Tron,32
33,Fox,32
398,Other (automobile),32
498,Other (light truck),32
405,Q3,32
402,Q5,32
401,"Q7 (For 2007-2018 only.  For model years 2019 on, see 32-422.)",32
422,"Q7 (For 2019 on.  For model years 2007-2018, see 32-401.)",32
421,Q8,32
50,R8,32
60,RS3,32
54,RS5,32
58,RS7,32
59,S3,32
40,S4 (1992-1994; 2000-2011 only. See model 055 for 2012 on)/S6 (1992-1994; 2000-2011 only.  See model 056 for 2013 on.),32
55,S4 (2012 on only.  See model 040 for 1992-1994; 2000-2011),32
52,S5,32
56,S6 (2013 on.  See model 040 for 1992-1994; 2000-2011),32
57,S7,32
46,S8,32
404,SQ5,32
31,Super 90,32
45,TT/TTS,32
999,Unknown (AUDI),32
399,Unknown (automobile),32
499,Unknown (light truck),32
38,V-8 Quattro,32
