id,modelname,makeID
998,(Other Vehicle),37
701,0- 50 cc,37
703,125-349 cc,37
733,125-349cc (ATV),37
704,350-449 cc,37
734,350cc or greater (ATV),37
705,450-749 cc,37
702,51-124 cc,37
732,51-124cc (ATV),37
34,600,37
706,750 cc or greater,37
32,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",37
31,"Civic/CRX, del Sol",37
402,CR-V,37
41,CR-Z,37
405,Crosstour (2012-2015 only. See vehicle model 37-032 for model years 2010 and 2011.),37
403,Element,37
36,EV Plus*,37
38,FCX/Clarity,37
39,Fit,37
404,HR-V,37
37,Insight,37
441,Odyssey,37
398,Other (automobile),37
498,Other (light truck),37
401,Passport,37
422,Passport (2019 on. For 1994-2002 see model 401.),37
421,Pilot,37
33,Prelude,37
471,Ridgeline,37
35,S2000,37
399,Unknown (automobile),37
999,Unknown (HONDA),37
499,Unknown (light truck),37
709,Unknown cc,37
739,Unknown cc (ATV),37
