id,modelname,makeID
39,190,42
31,200/220/230/240/ 250/260/280/300/ 320/420,42
32,230/280 SL,42
35,280/300 SEL,42
40,300,42
33,300/350/380/450/500/ 560 SL,42
36,"300/380/420/450/500/560/SEL & 500/560, 600 SEC & 300/350 SDL",42
37,300/380/450 SE,42
34,350/380/420/450/560 SLC,42
41,400/500E,42
38,"600, 6.9 Sedan",42
58,A-Class,42
56,AMG GT S,42
53,B Class,42
981,Bus**: Conventional (Engine out front),42
42,C Class (94 on),42
46,CL Class,42
54,CLA Class,42
47,CLK,42
51,CLS Class,42
48,E Class (97 on),42
402,G Class,42
421,GL Class,42
55,GLA Class,42
406,GLB Class,42
405,GLC Class,42
404,"GLE Class (For 2016-2018 only.  For model years 2019 on, see 42-423.)",42
423,"GLE Class (For 2019 on.  For model years 2016-2018, see 42-404.)",42
403,GLK Class,42
422,GLS Class,42
401,M/ML Class,42
870,Medium Heavy Van-Based Vehicle,42
881,Medium/Heavy - CBE,42
890,Medium/Heavy – COE entry position unknown,42
883,Medium/Heavy – COE high entry,42
882,Medium/Heavy – COE low entry,42
884,Medium/Heavy – Unknown engine location,42
462,Metris,42
850,Motor Home,42
398,Other (automobile),42
988,Other (bus),42
498,Other (light truck),42
898,Other (medium/heavy truck),42
998,Other (vehicle),42
50,R Class,42
43,S Class (95 on),42
44,SL Class (95 on),42
57,SLC Series,42
45,SLK,42
49,SLR,42
52,SLS Class,42
461,SPRINTER,42
399,Unknown (automobile),42
989,Unknown (bus),42
499,Unknown (light truck),42
999,Unknown (MERCEDES-BENZ),42
470,Van derivative,42
