id,modelname,makeID
39,3000 GT,52
981,Bus**: Conventional (Engine out front),52
982,"Bus: Front engine, Flat Front",52
983,"Bus: Rear engine, Flat front",52
33,Cordia,52
40,Diamante,52
37,Eclipse,52
403,Eclipse Cross,52
402,Endeavor,52
45,Expo Wagon,52
34,Galant,52
41,"iMiEV  (For 2018 on, code as vehicle model 398)",52
46,Lancer/Lancer Sportback/ Lancer Evolution,52
882,"Medium/Heavy – COE, low entry",52
441,Mini-Van,52
48,Mirage (2014 on.  For 1985-2002 use 52-035.),52
35,Mirage (For 1985-2002.  For 2014 on use model 048.),52
401,Montero/Montero Sport,52
398,Other (automobile),52
988,Other (bus),52
498,Other (light truck),52
898,Other (medium/heavy truck),52
47,"Outlander (For 2003-2018 only.  For model years 2019 on, see 52-404.)",52
404,"Outlander (For 2019 on.  For model years 2003-2018, see 52-047.)",52
471,Pickup,52
36,Precis,52
472,Raider,52
38,Sigma,52
31,Starion,52
32,Tredia,52
399,Unknown (automobile),52
989,Unknown (bus),52
499,Unknown (light truck),52
999,Unknown (MITSUBISHI),52
