id,modelname,makeID
36,Accent,55
39,"Azera  (For 2018 on, code as vehicle model 398)",55
35,Elantra,55
441,Entourage,55
40,Equus,55
32,Excel,55
41,"Genesis (For 2009-2016 only. For model years 2017 on, see 55-043, 55-044 and 55-046)",55
46,Genesis (G70),55
43,Genesis (G80),55
44,Genesis (G90),55
45,Ioniq,55
404,Kona,55
405,Nexo,55
398,Other (automobile),55
498,Other (light truck),55
422,Palisade,55
31,Pony,55
401,Santa Fe,55
34,Scoupe,55
33,Sonata,55
37,Tiburon,55
402,Tucson,55
399,Unknown (automobile),55
999,Unknown (HYUNDAI),55
499,Unknown (light truck),55
42,Veloster,55
406,Venue,55
421,Veracruz  (2008 on; see 403 for 2007 only),55
403,Veracruz (2007 only),55
38,XG300(2001)/ XG350(2002 on),55
