id,modelname,makeID
38,CT 200h,59
31,ES-250/300/300h/330/ 350,59
34,GS-300/350/400/430/ 450h/460,59
404,GX460,59
402,GX470,59
37,HS 250h,59
35,IS-250/300/350/500/200t,59
42,LC Series,59
39,LFA,59
32,LS-400/430/460/460L/600h/600hL,59
421,LX450/470/570,59
405,NX,59
398,Other (automobile),59
498,Other (light truck),59
40,RC,59
401,RX300/350,59
403,RX330/350/400h/450h,59
33,SC-400/SC-300,59
36,SC-430,59
399,Unknown (automobile),59
999,Unknown (LEXUS),59
499,Unknown (light truck),59
43,UX,59
