id,modelname,makeID
31,Aston Martin,69
52,Bertone,69
32,Bricklin,69
64,Bugatti,69
62,Caterham,69
33,Citroen,69
34,DeLorean,69
48,Desta,69
35,Ferrari,69
36,Hillman,69
37,Jensen,69
58,Koenigsegg,69
53,Lada,69
38,Lamborghini,69
39,Lotus,69
61,Mahindra,69
40,Maserati,69
56,Maybach,69
63,McLaren,69
54,Mini-Cooper,69
55,Morgan (2003 on; Prior to 2003 see 398),69
41,Morris,69
398,Other (automobile),69
49,Reliant,69
42,Rolls Royce/Bentley,69
44,Simca,69
57,Spyker,69
45,Sunbeam,69
46,TVR,69
399,Unknown (automobile),69
