id,modelname,makeID
12,400,7
14,600,7
11,Aries (K),7
6,Aspen,7
26,Avenger,7
42,Avenger,7
461,B-Series Van/Ram Van/ Ram Wagon,7
30,Barracuda,7
981,Bus**: Conventional (Engine out front),7
25,Caliber,7
442,Caravan/Grand Caravan,7
33,Challenger,7
5,Challenger,7
28,Challenger (2008 on; for 1970-74 see model 005),7
24,Charger,7
34,Colt  (includes 2WD Vista),7
35,Conquest,7
2,Coronet/Magnum/ Charger (thru 1978),7
481,"D, W-Series pickup",7
471,"D50, Colt pickup, Ram 50/Ram 100",7
472,Dakota,7
1,Dart,7
29,Dart (2013 on. See model 001 for 1960-1976.),7
15,Daytona,7
7,Diplomat,7
402,Durango (1998-2003 only; see model 422 for 2004 on),7
422,Durango (2004 on; see 402 for 1998-2003 models),7
18,Dynasty,7
41,Intrepid,7
27,"Journey (For 2009-2018 only.  For model years 2019 on, see 07-404.)",7
404,"Journey (For 2019 on.  For model years 2009-2018, see 07-027.)",7
16,Lancer,7
21,Magnum,7
881,Medium/Heavy – CBE,7
890,Medium/Heavy – COE entry position unknown,7
883,Medium/Heavy – COE high entry,7
882,Medium/Heavy – COE low entry,7
884,Medium/Heavy –Unknown engine location,7
880,"Medium/Heavy Pickup (pickup-style only – over 10,000 lbs)",7
870,Medium/Heavy Van-Based Vehicle,7
9,Mirada,7
40,Monaco,7
850,Motor Home,7
20,Neon,7
403,Nitro,7
8,Omni/Charger (1983 on),7
398,Other (automobile),7
988,Other (bus),7
498,Other (light truck),7
898,Other (medium/heavy truck),7
998,Other (vehicle),7
3,Polara/Monaco/ Royal Monaco,7
444,Promaster City,7
401,RaiderSport,7
443,Ram C/V,7
482,Ram Pickup,7
463,Ram Promaster,7
421,Ramcharger,7
13,Rampage (car-based pickup),7
17,Shadow,7
19,Spirit,7
462,Sprinter,7
10,St Regis,7
39,Stealth,7
43,Stratus,7
399,Unknown (automobile),7
989,Unknown (bus),7
999,Unknown (DODGE),7
499,Unknown (light truck),7
470,Van Derivative,7
4,Viper,7
441,Vista Van,7
