id,modelname,makeID
981,Bus**: Conventional (Engine out front),89
982,"Bus: Front engine, Flat front",89
983,"Bus: Rear engine, Flat front",89
881,Medium/Heavy - CBE,89
890,Medium/Heavy – COE entry position unknown,89
883,Medium/Heavy – COE high entry,89
882,Medium/Heavy – COE low entry,89
884,Medium/Heavy – Unknown engine location,89
850,Motor Home,89
988,Other (bus),89
898,Other (medium/heavy truck),89
998,Other (vehicle),89
989,Unknown (bus),89
999,Unknown (WHITE/AUTOCAR-WHITE/GMC),89
