id,modelname,make
32,100,
37,200,
34,4000,
35,5000,
36,80/90,
48,A3,
43,A4,
49,A5,
42,A6,
51,A7,
44,A8,
47,Allroad (2001-05 only.  See 403 for 2013 on),
403,Allroad (2013 on.  For 2001-2005 see model 047.),
41,Cabriolet (1994-1998),
39,Coupe Quattro,
406,e-Tron,
33,Fox,
398,Other (automobile),
498,Other (light truck),
405,Q3,
402,Q5,
401,"Q7 (For 2007-2018 only.  For model years 2019 on, see 32-422.)",
422,"Q7 (For 2019 on.  For model years 2007-2018, see 32-401.)",
421,Q8,
50,R8,
60,RS3,
54,RS5,
58,RS7,
59,S3,
40,S4 (1992-1994; 2000-2011 only. See model 055 for 2012 on)/S6 (1992-1994; 2000-2011 only.  See model 056 for 2013 on.),
55,S4 (2012 on only.  See model 040 for 1992-1994; 2000-2011),
52,S5,
56,S6 (2013 on.  See model 040 for 1992-1994; 2000-2011),
57,S7,
46,S8,
404,SQ5,
31,Super 90,
45,TT/TTS,
999,Unknown (AUDI),
399,Unknown (automobile),
499,Unknown (light truck),
38,V-8 Quattro,
