id,modelname,make
9,Allante',
24,ATS,
17,Catera,
16,Cimarron,
6,Commercial Series,
27,CT5,
26,CT6,
18,CTS/CTC,
3,"Deville/Fleetwood,Coupe de Ville, Sedan de Ville, Fleetwood Brougham, Fleetwood 60 Special, d`Elegan",
22,DTS,
5,Eldorado,
25,ELR,
431,Escalade ESV,
480,Escalade EXT (from 2002 -2006; for 2007 on see 481),
481,Escalade EXT (from 2007 on; see 480 for 2002-2006),
421,Escalade/ESV (from 2004 on; see 431 for 2003 only),
4,Limousine,
398,Other (automobile),
498,Other (light truck),
14,Seville,
20,SRX,
21,STS,
399,Unknown (automobile),
499,Unknown (light truck),
999,Unknown CADILLAC,
19,XLR,
422,XT4,
401,XT5,
423,XT6,
23,XTS,
