id,modelname,make
981,Bus**: Conventional (Engine out front),
982,"Bus: Front engine, Flat front",
983,"Bus: Rear engine, Flat front",
870,Medium Heavy Van-Based Vehicle,
881,Medium/Heavy - CBE,
890,Medium/Heavy – COE entry position unknown,
883,Medium/Heavy – COE high entry,
882,Medium/Heavy – COE low entry,
884,Medium/Heavy – Unknown engine location,
850,Motor Home,
462,MT 35 Chassis,
988,Other (bus),
498,Other (light truck),
898,Other (medium/heavy truck),
998,Other (vehicle),
461,Sprinter/Advantage,
989,Unknown (bus),
999,Unknown (FREIGHTLINER),
499,Unknown (light truck),
