id,modelname,make
8,Acadia (2007-2012 only.  For 2013 on see model 423.),
423,Acadia (2013 on. For 2007-2012 see model 008.),
981,Bus**: Conventional (Engine out front),
481,"C, K, R, V-series pickup/     Sierra",
7,Caballero,
472,Canyon,
421,Fullsize Jimmy/Yukon,
461,G-series van/Savana,
401,Jimmy/Typhoon/Envoy,
881,Medium/Heavy - CBE,
890,Medium/Heavy – COE entry position unknown,
883,Medium/Heavy – COE high entry,
882,Medium/Heavy – COE low entry,
884,Medium/Heavy – Unknown engine location,
880,"Medium/Heavy Pickup (pickup-style only - over 10,000 lbs",
870,Medium/Heavy Van-Based Vehicle,
850,Motor Home,
988,Other (bus),
498,Other (light truck),
898,Other (medium/heavy truck),
998,Other (vehicle),
466,P-series van,
471,S15/T15/Sonoma,
441,Safari (Minivan),
431,Suburban/Yukon XL (2000 on) (1950-2003 only; see 422 for 2004 on),
422,Suburban/Yukon XL (2004 on; see 431 for 1950- 2003),
402,Terrain,
399,Unknown (automobile),
989,Unknown (bus),
999,Unknown (GMC),
499,Unknown (light truck),
470,Van derivative,
