id,modelname,make
981,Bus**: Conventional (Engine out front),
983,"Bus**: Rear engine, Flat front",
982,"Bus: Front engine, Flat front",
881,Medium/Heavy - CBE,
890,Medium/Heavy – COE entry position unknown,
883,Medium/Heavy – COE high entry,
882,Medium/Heavy – COE low entry,
884,Medium/Heavy – Unknown engine location,
850,Motorhome,
466,Multistop Van,
988,Other (bus),
898,Other (medium/heavy truck),
998,Other (vehicle),
498,Other light truck,
481,Pickup,
421,Scout,
431,Travelall,
989,Unknown (bus),
999,Unknown (INTL. HARVESTER/ NAVISTAR),
499,Unknown light truck,
