id,modelname,make
701,0-50cc,
731,0-50cc (ATV),
703,125-349cc,
733,125-349cc (ATV),
704,350-449cc,
734,350cc or greater (ATV),
705,450-749cc,
702,51-124cc,
732,51-124cc (ATV),
706,750cc or greater,
802,Auto-Union-DKW,
981,Bus***: Conventional (Engine out front),
982,"Bus: Front engine, Flat front",
983,"Bus: Rear engine, Flat front",
903,Carpenter,
904,Collins Bus,
905,DINA,
803,Divco,
707,Electric Motorcycle,
806,Hino,
881,Medium/Heavy – CBE,
890,Medium/Heavy – COE entry position unknown,
883,Medium/Heavy – COE high entry,
882,Medium/Heavy – COE low entry,
884,Medium/Heavy – Unknown engine location,
870,Medium/Heavy Van-Based Vehicle,
302,Meyers Motor,
906,Mid Bus,
850,Motor Home,
902,Neoplan,
907,Orion,
805,Oshkosh,
398,Other (automobile),
988,Other (bus),
498,Other (light truck),
598,Other (LSV/NEV),
898,Other (medium/heavy truck)**,
998,Other (vehicle),
807,Scania,
809,Sterling,
301,Think,
808,UD,
999,Unknown (OTHER MAKE),
709,Unknown cc,
739,Unknown cc (ATV),
908,Van Hool,
804,Western Star,
