id,modelname,make
17,6000,
11,Astre,
401,Aztek,
2,Bonneville/Catalina/ Parisienne,
5,Fiero,
9,Firebird/Trans AM,
25,G3,
19,G5,
22,G6,
24,G8,
26,G8-ST,
18,Grand AM,
20,Grand Prix (FWD),
10,Grand Prix (RWD),
31,Lemans (1988-on),
1,Lemans/ Tempest (thru 1970),
398,Other (automobile),
15,Phoenix,
23,Solstice,
16,Sunbird (1985-1994)/J-2000/Sunfire (1995 on),
12,Sunbird (thru 1980;1985 on see model 016),
13,T-1000/1000,
403,Torrent,
441,Trans Sport/ Montana/SV6,
399,Unknown (automobile),
499,Unknown (light truck),
999,Unknown (PONTIAC),
8,Ventura/GTO,
32,Vibe,
