id,modelname,make
33,360,
421,Ascent,
402,B9 Tribeca,
44,Baja,
43,Brat,
46,BRZ,
401,Forester,
38,Impreza,
36,Justy,
34,Legacy/Outback(prior to 2003 only; see 045 for 2003 on),
31,Loyale (1990 on)/DL/ FE/G/GF/GL/GLF/STD,
398,Other (automobile),
498,Other (light truck),
45,Outback (2003 on)(see 034 for prior to 2003),
39,RX,
32,Star,
37,SVX,
399,Unknown (automobile),
499,Unknown (light truck),
999,Unknown (SUBARU),
47,WRX (2015 on; see 038 for prior to 2015.),
35,XT/XT6,
403,XV Crosstrek,
