id,modelname,make
701,0-50cc,
731,0-50cc (ATV),
703,125-349cc,
733,125-349cc (ATV),
704,350-449cc,
734,350cc or greater (ATV),
705,450-749cc,
702,51-124cc,
732,51-124cc (ATV),
706,750cc-over,
33,Aerio,
481,Equator,
32,Esteem,
34,Forenza,
404,Grand Vitara (2003 on; see model 402 for models prior to 2003),
41,Kizashi,
398,Other (automobile),
498,Other (light truck),
36,Reno,
401,Samurai,
402,Sidekick/Vitara/ Vitara V6,
31,Swift/SA310,
40,SX4/SX4 Crossover,
399,Unknown (automobile),
499,Unknown (light truck),
999,Unknown (SUZUKI),
709,Unknown cc,
739,Unknown cc (ATV),
35,Verona,
403,X-90,
405,XL-7 (2003 on; see 402 for 2002 model year),
