id,modelname,make
401,4-Runner,
56,86,
43,Avalon,
405,C-HR,
40,Camry,
37,Carina,
33,Celica,
32,Corolla,
31,Corona,
35,Cressida,
36,Crown,
45,ECHO,
404,FJ Cruiser,
57,GR Supra,
403,Highlander,
421,Land Cruiser,
47,Matrix,
441,Minivan (1984-90)/ Previa (1991 on),
55,Mirai,
41,MR-2/MR Spyder,
398,Other (automobile),
498,Other (light truck),
42,Paseo,
471,Pickup,
46,Prius *,
402,RAV4 *,
54,Scion iQ (2010-2011 only.  See Scion for 2012 on.),
50,Scion tC (2005-2011 only.  See Scion for 2012 on.),
48,Scion xA,
49,Scion xB (2004-2011 only.  See Scion for 2012 on.),
52,Scion xD (2007-2011 only.  See Scion for 2012 on.),
422,Sequoia,
442,Sienna,
44,Solara,
39,Starlet,
34,Supra,
481,T-100,
472,Tacoma,
38,Tercel,
482,Tundra,
399,Unknown (automobile),
499,Unknown (light truck),
999,Unknown (TOYOTA),
53,Venza,
51,Yaris,
