id,modelname,make
701,0-50cc,
731,0-50cc (ATV),
703,125-349cc,
733,125-349cc (ATV),
704,350-449cc,
734,350cc or greater (ATV),
705,450-749cc,
702,51-124cc,
732,51-124cc (ATV),
706,750cc or greater,
981,Bus**: Conventional (Engine out front),
982,Bus: Front engine. Flat front,
983,"Bus: Rear engine, Flat front",
707,Electric Motorcycle,
870,Medium Heavy Van-Based Vehicle,
883,Medium/Heavy - COE high entry,
882,Medium/Heavy - COE low entry,
884,Medium/Heavy - Unknown engine location,
881,Medium/Heavy – CBE,
890,Medium/Heavy – COE entry position unknown,
850,Motor Home,
988,Other (bus),
898,Other (medium/heavy truck),
998,Other (vehicle),
999,"Unknown (as to automobile, motored cycle, light truck or truck)",
399,Unknown (automobile),
989,Unknown (bus),
499,Unknown (light truck),
598,Unknown (LSG/NGV),
599,Unknown (LSV/NGV),
709,Unknown cc,
739,Unknown cc (ATV),
