id,modelname,make
34,411/412,
53,Arteon,
403,Atlas,
32,Beetle 1300/1500,
52,CC (For 2012 on. See model 046 for 2008-2011.),
45,Corrado,
37,Dasher,
51,Eos,
442,Eurovan,
44,Fox,
42,Golf/Cabriolet/Cabrio/GTI/ GLI,
40,Jetta/Jetta SportsWagen,
31,Karmann Ghia,
47,New Beetle,
398,Other (automobile),
498,Other (light truck),
998,Other (vehicle),
46,Passat (CC - 2008 thru 2011; see 052 for 2012 on),
48,Phaeton,
41,Quantum,
36,Rabbit,
43,Rabbit Pickup,
443,Routan,
38,Scirocco,
35,Squareback/Fastback,
33,Super Beetle,
401,The Thing (181),
402,Tiguan,
421,Touareg/Tourareg 2,
399,Unknown (automobile),
499,Unknown (light truck),
999,Unknown (VOLKSWAGEN),
441,Vanagon/Camper,
