BODY_TYP,ST_CASE,BODY_TYPNAME,Model_ID,Make_ID,Model_Name,Case_Year,Make_Name,car_year
80,10001,,706.0,72.0,750cc or greater,2010.0,Harley-Davidson,1994.0
31,10002,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
30,10003,,471.0,49.0,Pickup,2010.0,Toyota,1994.0
80,10004,,705.0,73.0,450-749cc,2010.0,Kawasaki,1994.0
31,10005,,481.0,12.0,F-Series,2010.0,Ford,1994.0
4,10006,,2.0,20.0,Impala,2010.0,Chevrolet,1994.0
4,10007,,2.0,22.0,Bonneville,2010.0,Pontiac,1994.0
15,10008,,421.0,37.0,Pilot,2010.0,Honda,2010.0
2,10009,,16.0,20.0,Cavalier,2010.0,Chevrolet,1994.0
4,10010,,32.0,49.0,Corolla,2010.0,Toyota,1994.0
4,10011,,32.0,37.0,Accord,2010.0,Honda,2010.0
2,10012,,2.0,20.0,Impala,2010.0,Chevrolet,1994.0
31,10013,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
4,10014,,17.0,12.0,Taurus,2010.0,Ford,1994.0
14,10015,,401.0,37.0,Passport,2010.0,Honda,2010.0
97,10016,,998.0,37.0,(Other Vehicle),2010.0,Honda,2010.0
30,10017,,471.0,23.0,Sonoma,2010.0,GMC,1994.0
4,10018,,32.0,20.0,Nova/Geo Prizm/Prism,2010.0,Chevrolet,1994.0
4,10020,,32.0,54.0,Legend,2010.0,Acura,1994.0
80,10021,,705.0,53.0,450-749cc,2010.0,Suzuki,1994.0
4,10022,,32.0,37.0,Accord,2010.0,Honda,2010.0
4,10023,,37.0,20.0,Malibu,2010.0,Chevrolet,1994.0
4,10024,,7.0,18.0,Century,2010.0,Buick / Opel,2010.0
4,10025,,32.0,20.0,Nova/Geo Prizm/Prism,2010.0,Chevrolet,1994.0
2,10026,,36.0,20.0,Monte Carlo,2010.0,Chevrolet,1994.0
2,10027,,4.0,14.0,Cougar/XR7 (1967-1997),2010.0,Mercury,1994.0
4,10028,,38.0,9.0,Breeze,2010.0,Plymouth,1994.0
4,10029,,17.0,12.0,Taurus,2010.0,Ford,1994.0
30,10030,,472.0,49.0,Tacoma,2010.0,Toyota,1994.0
20,10031,,441.0,12.0,Aerostar,2010.0,Ford,1994.0
3,10033,,3.0,12.0,Mustang,2010.0,Ford,1994.0
2,10034,,36.0,20.0,Monte Carlo,2010.0,Chevrolet,1994.0
15,10035,,421.0,12.0,Bronco,2010.0,Ford,1994.0
4,10036,,17.0,14.0,Sable,2010.0,Mercury,1994.0
4,10037,,3.0,19.0,Deville,2010.0,Cadillac,1994.0
14,10038,,401.0,12.0,Bronco,2010.0,Ford,1994.0
31,10039,,498.0,20.0,Other (light truck),2010.0,Chevrolet,1994.0
30,10040,,471.0,49.0,Pickup,2010.0,Toyota,1994.0
30,10041,,472.0,20.0,LUV,2010.0,Chevrolet,1994.0
4,10042,,2.0,18.0,LeSabre,2010.0,Buick / Opel,2010.0
30,10044,,473.0,12.0,Explorer,2010.0,Ford,1994.0
4,10045,,17.0,14.0,Sable,2010.0,Mercury,1994.0
4,10046,,17.0,14.0,Sable,2010.0,Mercury,1994.0
4,10047,,37.0,41.0,2,2010.0,Mazda,1994.0
14,10048,,401.0,49.0,4-Runner,2010.0,Toyota,1994.0
31,10049,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
4,10051,,40.0,49.0,Camry,2010.0,Toyota,1994.0
21,10052,,461.0,7.0,Ram,2010.0,Dodge,1994.0
66,10053,,881.0,82.0,Medium/Heavy - CBE,2010.0,Freightliner,1994.0
31,10054,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
31,10055,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
4,10056,,21.0,21.0,Alero,2010.0,Oldsmobile,1994.0
2,10057,,10.0,18.0,Regal,2010.0,Buick / Opel,2010.0
31,10059,,482.0,7.0,Ram,2010.0,Dodge,1994.0
31,10060,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
4,10061,,40.0,49.0,Camry,2010.0,Toyota,1994.0
14,10062,,401.0,12.0,Bronco,2010.0,Ford,1994.0
80,10063,,706.0,72.0,750cc or greater,2010.0,Harley-Davidson,1994.0
31,10064,,481.0,12.0,F-Series,2010.0,Ford,1994.0
39,10065,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
30,10065,,471.0,20.0,S-10/T-10 Pickup,2010.0,Chevrolet,1994.0
4,10066,,37.0,12.0,Focus,2010.0,Ford,1994.0
20,10067,,441.0,20.0,Astro,2010.0,Chevrolet,1994.0
4,10068,,20.0,7.0,Neon,2010.0,Dodge,1994.0
4,10069,,37.0,41.0,2,2010.0,Mazda,1994.0
31,10070,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
4,10071,,32.0,37.0,Accord,2010.0,Honda,2010.0
10,10072,,7.0,20.0,El Camino,2010.0,Chevrolet,1994.0
4,10074,,32.0,37.0,Accord,2010.0,Honda,2010.0
4,10076,,38.0,49.0,Tercel,2010.0,Toyota,1994.0
2,10077,,16.0,20.0,Cavalier,2010.0,Chevrolet,1994.0
31,10078,,481.0,12.0,F-Series,2010.0,Ford,1994.0
4,10079,,32.0,53.0,Esteem,2010.0,Suzuki,1994.0
14,10081,,404.0,2.0,Cherokee,2010.0,Jeep / Kaiser-Jeep / Willys- Jeep,2010.0
14,10082,,401.0,14.0,Mountaineer,2010.0,Mercury,1994.0
2,10084,,33.0,59.0,SC-400/SC-300,2010.0,Lexus,1994.0
4,10085,,35.0,34.0,5-series,2010.0,BMW,1994.0
4,10086,,1.0,24.0,SL,2010.0,Saturn,1994.0
4,10087,,35.0,58.0,I30,2010.0,Infiniti,1994.0
31,10088,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
15,10090,,421.0,23.0,Yukon,2010.0,GMC,1994.0
2,10091,,4.0,12.0,Thunderbird,2010.0,Ford,1994.0
4,10092,,3.0,19.0,Deville,2010.0,Cadillac,1994.0
30,10093,,472.0,35.0,Frontier,2010.0,Nissan/Datsun,1994.0
4,10094,,11.0,12.0,Granada,2010.0,Ford,1994.0
30,10095,,471.0,12.0,Ranger,2010.0,Ford,1994.0
14,10096,,401.0,63.0,Sportage,2010.0,KIA,2001.0
14,10097,,401.0,49.0,4-Runner,2010.0,Toyota,1994.0
2,10098,,9.0,20.0,Camaro,2010.0,Chevrolet,1994.0
20,10099,,441.0,12.0,Aerostar,2010.0,Ford,1994.0
4,10100,,17.0,12.0,Taurus,2010.0,Ford,1994.0
4,10101,,37.0,20.0,Malibu,2010.0,Chevrolet,1994.0
4,10102,,17.0,12.0,Taurus,2010.0,Ford,1994.0
30,10104,,471.0,35.0,Pickup (1955-1997),2010.0,Nissan/Datsun,1994.0
4,10105,,2.0,18.0,LeSabre,2010.0,Buick / Opel,2010.0
4,10108,,35.0,12.0,Contour,2010.0,Ford,1994.0
2,10109,,36.0,20.0,Monte Carlo,2010.0,Chevrolet,1994.0
4,10109,,6.0,14.0,Grand Marquis,2010.0,Mercury,1994.0
4,10111,,31.0,37.0,Civic,2010.0,Honda,2010.0
3,10114,,31.0,54.0,Integra,2010.0,Acura,1994.0
4,10115,,16.0,20.0,Cavalier,2010.0,Chevrolet,1994.0
4,10116,,40.0,49.0,Camry,2010.0,Toyota,1994.0
30,10117,,471.0,20.0,S-10/T-10 Pickup,2010.0,Chevrolet,1994.0
31,10118,,482.0,7.0,Ram,2010.0,Dodge,1994.0
4,10119,,17.0,14.0,Sable,2010.0,Mercury,1994.0
2,10120,,42.0,49.0,Paseo,2010.0,Toyota,1994.0
4,10121,,47.0,35.0,Altima,2010.0,Nissan/Datsun,1994.0
31,10122,,482.0,7.0,Ram,2010.0,Dodge,1994.0
30,10122,,472.0,7.0,Dakota,2010.0,Dodge,1994.0
2,10123,,18.0,22.0,Grand AM,2010.0,Pontiac,1994.0
4,10124,,43.0,7.0,Stratus,2010.0,Dodge,1994.0
4,10125,,19.0,20.0,Beretta/Corsica,2010.0,Chevrolet,1994.0
2,10126,,34.0,7.0,Colt  (includes 2WD Vista),2010.0,Dodge,1994.0
4,10127,,1.0,24.0,SL,2010.0,Saturn,1994.0
4,10128,,32.0,49.0,Corolla,2010.0,Toyota,1994.0
31,10129,,481.0,12.0,F-Series,2010.0,Ford,1994.0
14,10130,,401.0,23.0,Envoy,2010.0,GMC,1994.0
4,10131,,32.0,49.0,Corolla,2010.0,Toyota,1994.0
4,10132,,31.0,37.0,Civic,2010.0,Honda,2010.0
20,10133,,442.0,12.0,Windstar,2010.0,Ford,1994.0
30,10133,,471.0,12.0,Ranger,2010.0,Ford,1994.0
66,10134,,881.0,82.0,Medium/Heavy - CBE,2010.0,Freightliner,1994.0
4,10135,,20.0,7.0,Neon,2010.0,Dodge,1994.0
2,10136,,2.0,24.0,SC,2010.0,Saturn,1994.0
4,10137,,40.0,49.0,Camry,2010.0,Toyota,1994.0
4,10138,,47.0,35.0,Altima,2010.0,Nissan/Datsun,1994.0
66,10139,,881.0,86.0,Medium/Heavy - CBE,2010.0,Mack,1994.0
30,10140,,471.0,23.0,Sonoma,2010.0,GMC,1994.0
4,10141,,51.0,41.0,3,2010.0,Mazda,1994.0
4,10142,,17.0,12.0,Taurus,2010.0,Ford,1994.0
30,10143,,471.0,41.0,B-Series,2010.0,Mazda,1994.0
14,10144,,401.0,12.0,Bronco,2010.0,Ford,1994.0
4,10145,,1.0,24.0,SL,2010.0,Saturn,1994.0
4,10146,,18.0,22.0,Grand AM,2010.0,Pontiac,1994.0
20,10147,,441.0,37.0,Odyssey,2010.0,Honda,2010.0
2,10148,,31.0,37.0,Civic,2010.0,Honda,2010.0
30,10149,,471.0,20.0,S-10/T-10 Pickup,2010.0,Chevrolet,1994.0
30,10150,,471.0,35.0,Pickup (1955-1997),2010.0,Nissan/Datsun,1994.0
31,10151,,481.0,12.0,F-Series,2010.0,Ford,1994.0
4,10152,,34.0,63.0,Optima,2010.0,KIA,2001.0
2,10153,,2.0,24.0,SC,2010.0,Saturn,1994.0
20,10153,,441.0,6.0,Town and Country,2010.0,Chrysler,2010.0
14,10154,,401.0,12.0,Bronco,2010.0,Ford,1994.0
4,10155,,19.0,20.0,Beretta/Corsica,2010.0,Chevrolet,1994.0
80,10155,,706.0,53.0,750cc-over,2010.0,Suzuki,1994.0
31,10156,,481.0,20.0,Silverado,2010.0,Chevrolet,1994.0
4,10157,,20.0,18.0,Regal,2010.0,Buick / Opel,2010.0
2,10158,,2.0,20.0,Impala,2010.0,Chevrolet,1994.0
80,10159,,706.0,72.0,750cc or greater,2010.0,Harley-Davidson,1994.0
4,10160,,43.0,35.0,Sentra,2010.0,Nissan/Datsun,1994.0
30,10161,,471.0,35.0,Pickup (1955-1997),2010.0,Nissan/Datsun,1994.0
4,10162,,32.0,37.0,Accord,2010.0,Honda,2010.0
14,10163,,401.0,12.0,Bronco,2010.0,Ford,1994.0
2,10164,,33.0,37.0,Prelude,2010.0,Honda,2010.0
4,10165,,20.0,20.0,Lumina,2010.0,Chevrolet,1994.0
4,10166,,32.0,49.0,Corolla,2010.0,Toyota,1994.0
4,10167,,32.0,20.0,Nova/Geo Prizm/Prism,2010.0,Chevrolet,1994.0
14,10168,,402.0,18.0,Rainier,2010.0,Buick / Opel,2010.0
80,10169,,706.0,73.0,750cc or greater,2010.0,Kawasaki,1994.0
21,10172,,461.0,20.0,G-series van,2010.0,Chevrolet,1994.0
