Make,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Model
Acura,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CL
Acura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11279.0,20430,17854.0,18531.0,14597.0,11757.0,11273.0,14685.0,13414.0,13900.0,ILX
Acura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ILX Hybrid
Acura,57948.0,54121.0,58606.0,45377.0,31178.0,47210.0,43271.0,50854.0,53040,65603.0,58208.0,55495.0,54886.0,51512.0,52019.0,47816.0,60057.0,MDX
Acura,206.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,269.0,581.0,170.0,238.0,128.0,124.0,NSX
Acura,0.0,9164.0,23356.0,15845.0,10153.0,14975.0,15196.0,29520.0,44750,44865.0,51026.0,52361.0,51295.0,63580.0,62876.0,52785.0,57013.0,RDX
Acura,17572.0,11501.0,6262.0,4517.0,2043.0,2037.0,1096.0,379.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RL
Acura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2195.0,1478.0,1237.0,1931.0,1019.0,1054.0,214.0,RLX
Acura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5053,3413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RL/RXL
Acura,20809.0,16996.0,296.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RSX
Acura,78218.0,71348.0,58545.0,46766.0,33620.0,34049.0,31237.0,33572.0,24318,10616.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,TL
Acura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19127.0,47080.0,37156.0,34846.0,30468.0,26548.0,21785.0,26100.0,TLX
Acura,34856.0,38035.0,33037.0,31998.0,28650.0,32076.0,0.0,0.0,0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,TSX
Acura,0.0,0.0,0.0,0.0,0.0,0.0,27725.0,24631.0,15508,5647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSX Sedan
Acura,0.0,0.0,0.0,0.0,0.0,0.0,3210.0,4234.0,1976,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TSX Sport Wagon
Acura,0.0,0.0,0.0,0.0,79.0,3259.0,1564.0,775.0,361,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,ZDX
Alfa Romeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91.0,659.0,480.0,407.0,238.0,145.0,99.0,78.0,4C
Alfa Romeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,36.0,8903.0,11519.0,8705.0,8204.0,7635.0,Giulia
Alfa Romeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2721.0,12043.0,9444.0,10282.0,10539.0,Stelvio
Audi,5389.0,8040.0,6353.0,4759.0,3874.0,6558.0,6561.0,7205.0,857,22250.0,35984.0,31538.0,20733.0,18305.0,10418.0,9938.0,2387.0,A3
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2877.0,0.0,0.0,0.0,0.0,A3 e-tron
Audi,48922.0,49862.0,45411.0,43343.0,37070.0,34672.0,0.0,0.0,0,0.0,0.0,0.0,37674.0,34311.0,26435.0,18342.0,16263.0,A4
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3115.0,5386,4686.0,2818.0,2300.0,0.0,0.0,0.0,0.0,0.0,A4 Allroad
Audi,0.0,0.0,0.0,0.0,0.0,0.0,3505.0,1252.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4 Avant
Audi,0.0,0.0,0.0,0.0,0.0,0.0,31729.0,34163.0,0,0.0,29013.0,34687.0,0.0,0.0,0.0,0.0,0.0,A4 Sedan
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36744,33993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4 Sedan/Avant
Audi,0.0,0.0,625.0,6282.0,9800.0,16379.0,15385.0,17270.0,18664,16620.0,12934.0,8354.0,21301.0,25972.0,23023.0,18827.0,17128.0,A5
Audi,20503.0,16219.0,12001.0,11956.0,6786.0,8675.0,11124.0,18998.0,22428,23941.0,22850.0,18686.0,16304.0,10561.0,17807.0,10536.0,9543.0,A6
Audi,0.0,0.0,0.0,0.0,0.0,0.0,6270.0,8598.0,8483,8133.0,7721.0,6558.0,4810.0,3852.0,4955.0,2859.0,3080.0,A7
Audi,5430.0,5038.0,3826.0,2825.0,1463.0,1521.0,5700.0,6002.0,6300,5904.0,4990.0,4149.0,3127.0,1599.0,2963.0,2375.0,2068.0,A8
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5369.0,7202.0,8278.0,eTron
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.0,e-Tron GT
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,e-Tron Sportback
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3654.0,13229.0,20048.0,20633.0,16828.0,14822.0,27252.0,34464.0,Q3
Audi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Q4 e-tron
